Date,Timezone,Ticker,ShortName,RedCode,Tier,Ccy,DocClause, Spread6m , Spread1y , Spread2y , Spread3y , Spread4y , Spread5y , Spread7y , Spread10y , Spread15y , Spread20y , Spread30y , Recovery ,DataRating,Sector,Region,Country,AvRating,ImpliedRating
20/Apr/18,L,INSTCR,Instituto de Cred Oficial,EKCEF3,SNRFOR,EUR,CR14,0.00073165,0.00104918,0.00167152,0.00228139,0.00304536,0.00376004,0.00524015,0.00696807,0.0078205,0.00824507,0.00857886,0.4,,Government,Europe,Spain,BBB,A
20/Apr/18,L,IRELND,Rep Irlnd,4A88DE,SNRFOR,EUR,CR14,0.00029914,0.00045626,0.00066909,0.00101585,0.00133825,0.00168566,0.00243159,0.00328008,0.00364697,0.00414795,0.00398898,0.4,,Government,Europe,Ireland,A,AA
20/Apr/18,L,ITALY,Rep Italy,4AB951,SNRFOR,EUR,CR14,0.00122157,0.00190403,0.00344205,0.00451617,0.00552477,0.0065939,0.0086442,0.01036562,0.0112391,0.01151644,0.01168932,0.4,,Government,Europe,Italy,BBB,BB
20/Apr/18,L,KFW,Kred Fuer Wiederaufbau,5F07DF,SNRFOR,EUR,CR14,0.00020625,0.00027424,0.00043504,0.00066219,0.00096391,0.00132606,0.00203865,0.00294222,0.00359132,0.00354816,0.003669,0.4,,Government,Europe,Germany,AAA,AAA
20/Apr/18,L,KMAG,Kommunalkredit Austria AG,AD8DD2,SNRFOR,EUR,CR14,,,,,,0.03500671,,,,,,0.4,,Government,Europe,Austria,BB,B
20/Apr/18,L,LAZIO,Lazio Region,5H318S,SNRFOR,EUR,CR,0.00193559,0.00293394,0.00477119,0.00606733,0.00736486,0.00966948,0.01369628,0.01500332,,0.01627914,0.01642262,0.4,,Government,Europe,Italy,BB,BB
20/Apr/18,L,NETHRS,Kdom Neth,NRCDE0,SNRFOR,EUR,CR14,0.00022653,0.0002582,0.000328,0.000466,0.00064518,0.00084972,0.00127474,0.00189106,0.00263586,0.00278519,0.00261009,0.36,,Government,Europe,Netherlands,AAA,AAA
20/Apr/18,L,PORTUG,Rep Portugal,7AA999,SNRFOR,EUR,CR14,0.00079352,0.00126885,0.00219471,0.00315531,0.00433829,0.00529957,0.00759201,0.00931517,0.01022734,0.0105058,0.01066262,0.4,,Government,Europe,Portugal,BBB,BBB
20/Apr/18,L,Puglia,Region of Puglia,T0FD9R,SNRFOR,EUR,CR,0.00489572,0.00644394,0.00846384,0.0101191,0.01190716,0.01359565,0.01768772,0.01860682,0.01933317,0.01965327,0.01992662,0.4,,Government,Europe,Italy,BBB,BB
20/Apr/18,L,SARDIN,Region of Sardinia,TT6AAA,SNRFOR,EUR,CR,0.00440651,0.00679411,0.00913531,0.01095745,0.01262326,0.01408499,0.01799477,0.01926597,,,0.02030134,0.4025,,Government,Europe,Italy,BBB,BB
20/Apr/18,L,SICILY,Region Sicily,T0FD91,SNRFOR,EUR,CR14,0.00883214,0.00972042,0.01162736,0.01308151,0.01433366,0.01550764,0.01764882,0.01979238,0.02103533,0.02144681,0.02172991,0.4,,Government,Europe,Italy,BBB,BB
20/Apr/18,L,SLOVAK,Slovak Rep,8B46DG,SNRFOR,EUR,CR14,0.00072622,0.00091853,0.00123089,0.00165467,0.00260388,0.00392932,0.00623903,0.00769667,0.00826409,0.00851073,0.00881391,0.25,,Government,E.Eur,Slovakia,A,A
20/Apr/18,L,SLOVEN,Rep Slovenia,8B46ED,SNRFOR,EUR,CR14,0.00050063,0.00065521,0.0014158,0.00252016,0.00387088,0.00509027,0.00794237,0.00962215,0.00949993,,,0.25,,Government,E.Eur,Slovenia,A,BBB
20/Apr/18,L,SPAIN,Kdom Spain,8CA965,SNRFOR,EUR,CR14,0.00048745,0.00070903,0.00121211,0.00153343,0.0020872,0.00252091,0.00370347,0.00486872,0.0053514,0.00584865,0.00569131,0.4,,Government,Europe,Spain,BBB,A
20/Apr/18,L,AUSTLA,Comwlth Aust,QS973P,SNRFOR,USD,MR14,0.00036752,0.00036586,0.00060467,0.0009048,0.0013153,0.00176445,0.00246613,0.00337382,0.00363137,0.00367752,0.00353733,0.4,,Government,Oceania,Australia,AAA,AAA
20/Apr/18,L,AFDB,African Dev Bk,008AA9,SNRFOR,USD,CR14,,0.00068424,0.00078323,0.00088211,0.00102377,0.00116448,0.00144373,0.00174717,0.00167013,0.00159667,0.00146357,0.4,,Government,Supra,Supra National,AAA,AAA
20/Apr/18,L,ALGERI,People's Democratic Rep of Algeria,VZ5ACN,SNRFOR,USD,CR14,0.00190561,0.00253809,0.00303325,0.00352874,0.00417472,0.00452068,,,,,,0.25,,Government,Africa,Algeria,,A
20/Apr/18,L,ANGOLA,Rep of Angola,VV337M,SNRFOR,USD,CR14,0.09026547,0.08848569,0.09051995,0.0906506,0.09079672,0.09095429,0.09129526,0.09185928,0.09282493,0.09380439,0.09504317,0.25,,Government,Africa,Angola,B,CCC
20/Apr/18,L,ARABBC,Arab Bkg Corp BSC,MN46A7,SNRFOR,USD,CR14,,,,0.024171,0.02702453,0.03009654,,,,,,0.25,,Government,MiddleEast,Bahrain,BBB,B
20/Apr/18,L,ARGENT,Argentine Rep,PP7D7E,SNRFOR,USD,CR14,0.00788481,0.0092245,0.01311196,0.01703006,0.02182283,0.02673748,0.03361113,0.04048267,0.04048517,0.04099051,0.04101481,0.25,,Government,Lat.Amer,Argentina,B,B
20/Apr/18,L,ASIA,Asian Dev Bk,0E967D,SNRFOR,USD,CR14,0.0012759,0.00139304,0.00157373,0.00201576,0.00252305,0.00338372,0.0042537,0.00492371,0.0055103,0.00586481,0.00634194,0.38333333,,Government,Supra,Supra National,AAA,AA
20/Apr/18,L,ASTBH,AZ Transpn Brd,0E46B9,SNRFOR,USD,CR,,0.00199183,0.00318442,0.00457761,0.00621904,0.00749315,0.00898402,0.01102376,,,,0.725,,Government,N.Amer,United States,,BBB
20/Apr/18,L,BGARIA,Rep Bulgaria,1D216P,SNRFOR,USD,CR14,0.00095225,0.00106177,0.00179378,0.00318035,0.00490965,0.00662866,0.00895875,0.0107034,0.01127557,0.01156558,0.01185999,0.25,,Government,E.Eur,Bulgaria,BBB,BBB
20/Apr/18,L,BHREIN,Kdom Bahrain,MS9996,SNRFOR,USD,CR14,0.01063002,0.01253349,0.01663431,0.02087126,0.0245013,0.02751596,0.0293038,0.03113817,0.03163672,0.03190653,0.03202228,0.25,,Government,MiddleEast,Bahrain,BB,B
20/Apr/18,L,BLADCO,Bco Latinoamericano Comercio Exterior SA,PQ4CAY,SNRFOR,USD,CR14,0.02125417,0.02153435,0.02189966,0.02228555,0.02311592,0.02416801,0.02594146,,,,,0.225,,Government,Lat.Amer,Panama,BBB,B
20/Apr/18,L,BNDES,Bco Nacional de Desenvolvimento Economico e Social BNDES,05EF75,SNRFOR,USD,CR14,0.00766917,0.00951576,0.01265442,0.01562362,0.01958388,0.02299023,0.02753209,0.03164695,0.03347704,0.03419122,0.03416226,0.25,,Government,Lat.Amer,Brazil,BB,B
20/Apr/18,L,BRAZIL,Federative Rep Brazil,115CCB,SNRFOR,USD,CR14,0.00515913,0.00608076,0.00815521,0.01057902,0.0135712,0.01678088,0.02138746,0.02601021,0.02769868,0.02825657,0.02838367,0.25,,Government,Lat.Amer,Brazil,BB,BB
20/Apr/18,L,BTUN-CentBank,Bqe Cen de Tunisie,06CD87,SNRFOR,USD,CR14,0.01329671,0.01587068,0.02067959,0.02504743,0.02763488,0.03032734,0.03248976,0.03356733,0.03365985,0.03362692,0.03366502,0.2375,,Government,Africa,Tunisia,B,B
20/Apr/18,L,CAF,Corp Andina de Fomento,23AHEE,SNRFOR,USD,CR14,,,0.00444962,,0.00816325,0.0096301,0.01161335,0.0136709,,0.01519329,0.01584236,0.25,,Government,Supra,Supra National,AA,BB
20/Apr/18,L,CAN,Canada,27CBJG,SNRFOR,USD,CR14,0.0011673,0.0013586,0.00172389,0.00213787,0.00248317,0.00289518,0.00363357,0.00432239,0.00468151,0.00484716,0.00501332,0.4,,Government,N.Amer,Canada,AAA,AA
20/Apr/18,L,CCBC,China Constr Bk Corp,YZ4CGW,SNRFOR,USD,CR14,0.00150107,0.00173664,0.0027593,0.00425869,0.00584945,0.00751694,0.00976758,0.0116224,0.01197524,0.01380798,0.01251075,0.39666667,,Government,Asia,China,A,BBB
20/Apr/18,L,CCCCL,China Comms Constr Co Ltd,Y7HHBZ,SNRFOR,USD,CR14,0.00840396,0.0089193,0.01027944,0.01158959,0.01285738,0.0140239,0.01606349,0.0177768,,,,0.4,,Government,Asia,China,A,BB
20/Apr/18,L,CCN,CLARK Cnty NV,1J915E,SNRFOR,USD,CR,,0.01345352,0.01532543,0.01697631,0.01880958,0.02002244,0.02127784,0.02271493,0.02332016,,0.02322716,0.7,,Government,N.Amer,United States,,BB
20/Apr/18,L,CHGO,City of Chicago,17DBCD,SNRFOR,USD,CR,,,,,,0.02218915,0.0287041,0.03698002,,,,0.65,,Government,N.Amer,United States,AA,B
20/Apr/18,L,CHILE,Rep of Chile,17EGE9,SNRFOR,USD,CR14,0.00094809,0.00125093,0.0018204,0.00255023,0.00349166,0.0047298,0.00708601,0.00898015,0.00955605,0.0098032,0.01015315,0.25,,Government,Lat.Amer,Chile,A,A
20/Apr/18,L,CHINA,Peoples Rep China,7I343A,SNRFOR,USD,CR14,0.00099169,0.00112325,0.00215747,0.00327168,0.00459997,0.00589045,0.00832696,0.01026084,0.01043149,0.0105507,0.01061835,0.4,,Government,Asia,China,A,BBB
20/Apr/18,L,CHINA-HKAA,Arpt Auth HKAA,YY02AC,SNRFOR,USD,CR14,0.00100393,0.00118794,0.00183291,0.00250858,0.003042,0.00356636,0.00460058,0.00568558,0.00635354,0.00690644,0.0074683,0.3875,,Government,Asia,Hong Kong,AA,A
20/Apr/18,L,CHINA-HongKong,Hong Kong Spl Admin Region,YB764X,SNRFOR,USD,CR14,0.00055432,0.00060722,0.0010578,0.00149913,0.00211693,0.00269867,0.00382145,0.00479295,0.00480598,0.00482815,0.00487578,0.395,,Government,Asia,Hong Kong,AA,AA
20/Apr/18,L,CHINDEAC,China Dev,YZ5A6V,SNRFOR,USD,CR14,0.0010911,0.00124915,0.0023402,0.00369588,0.00518108,0.00662758,0.00939511,0.0112213,0.01178147,0.01203302,0.01210936,0.4,,Government,Asia,China,A,BBB
20/Apr/18,L,CITMOS,City Moscow,67ADA9,SNRFOR,USD,CR14,0.018842,0.02003721,0.02029701,0.02090117,0.02189421,0.02308396,0.02472294,0.02606572,0.02709782,0.02911831,0.02959823,0.225,,Government,E.Eur,Russian Federation,BB,B
20/Apr/18,L,CLAG,City of Los Angeles,5J8786,SNRFOR,USD,CR,0.01556034,0.01578268,0.01637402,0.01730833,0.01862671,0.01967141,0.02082494,0.02183259,0.02289728,0.02209936,0.02325568,0.73333333,,Government,N.Amer,United States,,B
20/Apr/18,L,CNNCT,St of CT,2.27E+100,SNRFOR,USD,CR,,0.00266686,0.00353214,0.00465265,0.00591652,0.00711128,0.00896796,0.01089866,0.0113657,,0.01156281,0.6,,Government,N.Amer,United States,,BBB
20/Apr/18,L,COHL,China Overseas Hldgs Ltd,YZ650F,SNRFOR,USD,CR14,0.0140708,0.0147004,0.01623853,0.01796202,0.01974922,0.02032764,0.0225801,0.02433156,0.02428072,0.0241261,0.02377671,0.4,,Government,Asia,Hong Kong,,BB
20/Apr/18,L,COLOM,Rep Colombia,1AE857,SNRFOR,USD,CR14,0.00213256,0.00280267,0.00380759,0.00546981,0.00769471,0.01006589,0.01381379,0.01764414,0.01908771,0.01942685,0.01995712,0.25,,Government,Lat.Amer,Colombia,BBB,BB
20/Apr/18,L,COSTAR,Rep Costa Rica,2E36EG,SNRFOR,USD,CR14,0.01641028,0.02085965,0.02468225,0.02876444,0.0329467,0.03716402,0.03853458,0.03935687,0.04000942,0.04041855,0.04107146,0.25,,Government,Lat.Amer,Costa Rica,BB,B
20/Apr/18,L,COVN,Comwlth of Va,9BA919,SNRFOR,USD,CR,,0.00041507,0.0006549,0.00090456,0.00157823,0.00235226,0.00377412,0.00523085,,,,0.65,,Government,N.Amer,United States,,AA
20/Apr/18,L,CPX,City of Phoenix,789G95,SNRFOR,USD,CR,,0.00292756,0.00463843,0.00709973,0.00974771,0.0116509,0.01357342,0.01574091,,,,0.725,,Government,N.Amer,United States,,BB
20/Apr/18,L,CROATI,Rep Croatia,248DEC,SNRFOR,USD,CR14,0.00152334,0.0018208,0.00281559,0.00482374,0.0071531,0.00968225,0.013445,0.01593998,0.01718503,0.01774877,0.01824924,0.25,,Government,E.Eur,Croatia,BB,BB
20/Apr/18,L,CU,CA State,1E368V,SNRFOR,USD,CR,,0.00062927,0.00102837,0.00201987,0.00255407,0.00366154,0.00544608,0.00734719,,,,0.65,,Government,N.Amer,United States,,A
20/Apr/18,L,CZECH,Czech Rep,255AD5,SNRFOR,USD,CR14,0.00060223,0.00067113,0.00111144,0.00186913,0.00282569,0.00379754,0.00507844,0.00603975,0.00670102,0.00703587,0.00736736,0.25,,Government,E.Eur,Czech Republic,A,A
20/Apr/18,L,DBJI,Dev Bk of Japan Inc,JK337L,SNRFOR,USD,CR14,0.00074607,0.00088823,0.0012359,0.00164305,0.00224616,0.00288049,0.00394815,0.00452197,0.00484185,0.00510249,0.00537121,0.35,,Government,Asia,Japan,A,AAA
20/Apr/18,L,DELWRA,St of DE,26A9B8,SNRFOR,USD,CR,,0.00066433,0.00125388,0.00185244,,0.00274573,0.00382805,0.00521476,,,,0.75,,Government,N.Amer,United States,,AA
20/Apr/18,L,DENK,Kdom Denmark,KPBDCX,SNRFOR,USD,CR14,0.00029457,0.00034549,0.00044278,0.00058066,0.00086756,0.00115235,0.00177065,0.00245693,0.00354768,0.00368717,0.00361266,0.4,,Government,Europe,Denmark,AAA,AAA
20/Apr/18,L,DOMREP,Dominican Rep,27C85T,SNRFOR,USD,CR14,0.01374853,0.01528402,0.02027553,0.02436105,0.02683014,0.02927204,0.03201759,0.03560121,0.0395434,0.03759091,0.03877398,0.2375,,Government,Caribbean,Dominican Republic,BB,B
20/Apr/18,L,DUBGOV,Dubai Govt,MOAGBN,SNRFOR,USD,CR14,0.00288176,0.00327016,0.00408238,0.00606986,0.00857658,0.01093977,0.01325085,0.014819,0.01472602,0.01464708,0.0144303,0.25,,Government,MiddleEast,United Arab Emirates,,BB
20/Apr/18,L,EBRD,Eurpn Bk for Recon & Dev,2BHFCG,SNRFOR,USD,CR14,0.00098994,0.00102652,0.00119452,0.00142398,0.0017546,0.00208777,0.00289406,0.00359131,0.00434597,0.00443326,0.00445436,0.4,,Government,Supra,Supra National,AAA,AAA
20/Apr/18,L,ECUA,Rep of Ecuador,PX85AV,SNRFOR,USD,CR14,0.03402014,0.03857595,0.04321018,0.04832637,0.05330722,0.05621884,0.06035563,0.06262516,0.06217671,0.06255739,0.06313022,0.25,,Government,Lat.Amer,Ecuador,B,CCC
20/Apr/18,L,EGYPT,Arab Rep Egypt,MN5AC8,SNRFOR,USD,CR14,0.01004337,0.01308661,0.01676638,0.02024693,0.02337031,0.02604938,0.02847978,0.03071303,0.0314339,0.03232331,0.03370353,0.24166667,,Government,Africa,Egypt,B,B
20/Apr/18,L,EIB,Eurpn Invt Bk,2BHFFD,SNRFOR,USD,CR14,0.00063749,0.00075138,0.00103036,0.00126482,0.00162163,0.002074,0.00294301,0.00404127,0.00439528,0.00442721,0.00464612,0.4,,Government,Supra,Supra National,AAA,AAA
20/Apr/18,L,EIBC,Expt Import Bk of China,Y05BE8,SNRFOR,USD,CR14,0.00102456,0.00112763,0.00222515,0.00355976,0.00507092,0.00659384,0.00941245,0.0111449,0.01160226,0.01180823,0.01200368,0.4,,Government,Asia,China,A,BBB
20/Apr/18,L,EIBKOR,Expt Import Bk Korea,3D2369,SNRFOR,USD,CR14,0.00107194,0.00122077,0.00188858,0.00273507,0.00376163,0.00481465,0.00634794,0.0073638,0.00755688,0.00759331,0.00761081,0.4,,Government,Asia,Korea (Republic of),AA,A
20/Apr/18,L,ELSALV,Rep El Salvador,2ABBFC,SNRFOR,USD,CR14,0.01995629,0.02608317,0.02940234,0.03178526,0.03366812,0.03457141,0.03959147,0.04094245,0.040507,0.04083332,0.04123474,0.25,,Government,Lat.Amer,El Salvador,CCC,B
20/Apr/18,L,EMIABD,Emirate of Abu Dhabi,MM167Y,SNRFOR,USD,CR14,0.00126208,0.00144686,0.00216193,0.00319611,0.00468995,0.00620013,0.00854178,0.01057915,0.01082895,0.01120887,0.01172743,0.25,,Government,MiddleEast,United Arab Emirates,AA,BBB
20/Apr/18,L,EMPRES,Empresas Publicas Medellin ESP,2BB6AH,SNRFOR,USD,CR14,0.00400373,0.00519037,0.00819292,0.01163238,0.01718781,0.02256594,0.03093869,0.03945995,0.04437196,0.04598376,0.04745867,0.225,,Government,Lat.Amer,Colombia,BBB,B
20/Apr/18,L,EXIM,Exim Bank,Y05BFB,SNRFOR,USD,CR14,0.00155408,0.00182983,0.00342468,0.00513728,0.00687929,0.00869297,0.01094421,0.01268092,0.01236066,0.01223224,0.01197826,0.39,,Government,India,India,BBB,BBB
20/Apr/18,L,FEDEDEM,Fed Democratic Rep of Ethiopia,V1DB91,SNRFOR,USD,CR14,0.03437399,0.03602181,0.03830534,0.04083967,0.04335499,0.04565828,0.04784526,0.04938304,0.04981079,0.05001283,0.05018963,0.325,,Government,Africa,Ethiopia,B,CCC
20/Apr/18,L,FLRDA,St of FL,3H5259,SNRFOR,USD,CR,,0.00074197,0.00118025,0.00178783,0.00265931,0.00357229,0.00502272,0.00694508,,,,0.65,,Government,N.Amer,United States,,A
20/Apr/18,L,GRGIA,St of GA,3AA6BA,SNRFOR,USD,CR,,0.00137021,0.0017156,0.00217418,0.00284361,0.00361061,0.00501486,0.00517608,,,,0.65,,Government,N.Amer,United States,,A
20/Apr/18,L,GUATEM,Rep Guatemala,4E15DD,SNRFOR,USD,CR14,0.02974075,0.03090194,0.03207564,0.03375731,0.03052083,0.03258571,0.03608532,0.03736432,0.03865153,0.0370081,0.03814441,0.25,,Government,Lat.Amer,Guatemala,BB,B
20/Apr/18,L,HAWAI,St of HI,45AGED,SNRFOR,USD,CR,,0.0006314,,0.00153944,,0.00318172,0.00454969,0.00562514,,,,0.7275,,Government,N.Amer,United States,,AA
20/Apr/18,L,HUNGAA,Hungary,XA78EO,SNRFOR,USD,CR14,0.0007946,0.00111195,0.00209069,0.00421476,0.00636097,0.00844802,0.01085175,0.01241438,0.01353027,0.01402082,0.01396539,0.25,,Government,E.Eur,Hungary,BBB,BBB
20/Apr/18,L,HUNGRY,Natl Bk Hungary,696A83,SNRFOR,USD,CR14,0.00080857,0.00097966,0.00236967,0.00440933,0.00653971,0.00845862,0.01045126,0.0120373,0.01219811,0.01228416,0.01233035,0.25,,Government,E.Eur,Hungary,BBB,BBB
20/Apr/18,L,IADB,Inter Amern Dev Bk,49D99A,SNRFOR,USD,CR14,,0.00517512,0.00519051,0.00520442,,0.00523185,0.00525116,0.00527332,,0.00531724,,0.375,,Government,Supra,Supra National,AAA,A
20/Apr/18,L,ICELND,Rep Iceland,XA78A9,SNRFOR,USD,CR14,0.00291125,0.00331321,0.00444268,0.00596419,0.00740689,0.00872718,0.01043619,0.01124783,0.01205208,0.0121084,0.01240098,0.4,,Government,Europe,Iceland,A,BB
20/Apr/18,L,IGB,Rep India,Y1CA6C,SNRFOR,USD,CR14,0.00140827,0.00188023,0.00314512,0.00484447,0.00650996,0.00784388,0.00747595,0.00812706,0.00840969,0.00867063,0.00892693,0.4,,Government,India,India,BBB,BBB
20/Apr/18,L,ILNOIS,St IL,4J7365,SNRFOR,USD,CR,,,0.00970662,0.01298296,0.01633442,0.01924393,0.02310595,0.02703957,,,,0.6,,Government,N.Amer,United States,,B
20/Apr/18,L,INDON,Rep Indonesia,49ACF8,SNRFOR,USD,CR14,0.00185996,0.00200847,0.00389306,0.00575532,0.00778226,0.00987364,0.01342266,0.01654693,0.01676695,0.01668028,0.01670969,0.39875,,Government,Asia,Indonesia,BBB,BBB
20/Apr/18,L,INTEPET,Intl Petroleum Invt Co PJSC,MRBADO,SNRFOR,USD,CR14,0.00187773,0.0024338,0.00297829,0.00454672,0.00668207,0.00882961,0.0123063,0.01348899,0.01395716,0.01413272,0.01450315,0.25,,Government,MiddleEast,United Arab Emirates,AA,BBB
20/Apr/18,L,INTPWR,Intermountain Pwr Agy,49DGCE,SNRFOR,USD,CR,0.01320857,0.01412621,0.01503081,0.01657594,0.01824106,0.01913806,0.02020283,0.02156077,0.02202126,,0.02240216,0.75,,Government,N.Amer,United States,,B
20/Apr/18,L,IRAQ,Rep of Iraq,MRBEA2,SNRFOR,USD,CR14,0.06445955,0.0702143,0.07538078,0.07759285,0.07924446,0.08079214,0.08188,0.08256192,0.08237635,0.08200064,0.08174013,0.23333333,,Government,MiddleEast,Iraq,B,CCC
20/Apr/18,L,ISRAEL,St Israel,4AB64A,SNRFOR,USD,CR14,0.00109482,0.00127275,0.00187681,0.00260908,0.00399931,0.00542022,0.00749207,0.00881618,0.00937953,0.00953055,0.00961363,0.25,,Government,MiddleEast,Israel,A,BBB
20/Apr/18,L,IVYCST,Rep Cote d Ivoire,VX7637,SNRFOR,USD,CR14,,0.0046838,0.00790804,0.01071883,0.01458458,0.01833935,0.02465732,0.02895909,0.03194047,0.03297891,0.03377755,0.25,,Government,Africa,Ivory Coast,B,B
20/Apr/18,L,JAMAN,Jamaica,4B7176,SNRFOR,USD,CR14,0.02303256,0.02935023,0.0311683,0.03260239,0.03357919,0.0346913,0.03650896,0.03798828,0.03884295,0.03914371,0.03935632,0.25,,Government,Caribbean,Jamaica,B,B
20/Apr/18,L,JAPAN,Japan,4B818G,SNRFOR,USD,CR14,0.0003682,0.00045492,0.00074229,0.00114242,0.00166425,0.00243643,0.00375054,0.00480668,0.00528572,0.00541076,0.00568817,0.35,,Government,Asia,Japan,A,AA
20/Apr/18,L,JFOFM,Japan Fin Organization for Municipalities,JLAA2R,SNRFOR,USD,CR14,0.00079247,0.00082982,0.0010708,0.00135615,0.00195818,0.00263665,0.00380898,0.00474741,0.00513211,0.00536843,0.00571557,0.35,,Government,Asia,Japan,A,AAA
20/Apr/18,L,JORDAN,Hashemite Kdom Jordan,MS9995,SNRFOR,USD,CR14,0.02852552,0.02921574,0.02993766,0.03058383,0.03135088,0.03178278,0.03196478,0.03224301,0.0327275,0.0331896,0.03405827,0.3,,Government,MiddleEast,Jordan,B,B
20/Apr/18,L,KAZAKS,Rep Kazakhstan,4CECC7,SNRFOR,USD,CR14,0.00050427,0.00109533,0.00290405,0.00461218,0.00668322,0.00874503,0.01149757,0.01347879,0.01495349,0.01484124,0.01456606,0.25,,Government,E.Eur,Kazakhstan,BBB,BB
20/Apr/18,L,KAZAKS-Bk,Dev Bk of Kazakhstan,YA236T,SNRFOR,USD,CR14,0.00628299,0.0091593,0.01137575,0.01386486,0.01666752,0.01983062,0.02297642,0.02542458,0.03154532,0.03261969,0.0339801,0.25,,Government,E.Eur,Kazakhstan,BBB,B
20/Apr/18,L,KDICB,Korea Dep Ins Corp,5F068O,SNRFOR,USD,CR14,0.00073818,0.00092693,0.00182389,0.00272217,0.00361827,0.00451089,0.00641309,0.00798657,,0.01096934,,0.4,,Government,Asia,Korea (Republic of),,A
20/Apr/18,L,KENY,Rep of Kenya,VC88G1,SNRFOR,USD,CR14,0.01941682,0.02147601,0.02511022,0.02944184,0.0315895,0.03350629,0.03638495,0.03821143,0.03954207,0.04012908,0.04059373,0.325,,Government,Africa,Kenya,B,B
20/Apr/18,L,KNBZMK,Khazanah Nasional BHD,Y2BCAV,SNRFOR,USD,CR14,0.01289016,0.01388371,0.01636558,0.01784617,0.01932082,0.02078877,0.02321403,0.02656782,0.02908847,0.03006902,0.03066769,0.4,,Government,Asia,Malaysia,A,BB
20/Apr/18,L,KOMBNK,Kommunalbanken AS,RX967V,SNRFOR,USD,CR14,0.00033111,0.00034413,0.00043703,0.00057996,0.00077037,0.0009584,0.00137754,0.00181853,0.00234436,0.00250424,0.00275893,0.4,,Government,Europe,Norway,AAA,AAA
20/Apr/18,L,KORAIL,Korea Rr Corp,Y2D96F,SNRFOR,USD,CR14,0.0022485,0.0025846,0.00315695,0.00387919,0.00451564,0.00523299,0.00641878,0.00725858,0.00703003,0.00743973,0.00741533,0.4,,Government,Asia,Korea (Republic of),AA,BBB
20/Apr/18,L,KOREA,Rep Korea,5F06AJ,SNRFOR,USD,CR14,0.00214459,0.00214981,0.00269816,0.00323836,0.00390115,0.00480149,0.00610764,0.00709311,0.00707959,0.00690265,0.00707171,0.4,,Government,Asia,Korea (Republic of),AA,A
